Order ID;Month;Year;City;Segment;Category;Sub-Category;Product Name;Sales;Quantity;Profit
CA-2014-156587;Maret;2014;DKI Jakarta;Consumer;Furniture;Chairs;Global Push Button Manager's Chair, Indigo; $48,71 ;1; $5,48 
CA-2014-156587;Maret;2014;Jawa Barat;Consumer;Office Supplies;Storage;"Carina 42""Hx23 3/4""W Media Storage Unit"; $242,94 ;3; $4,86 
CA-2014-152905;Februari;2014;Banten;Consumer;Office Supplies;Storage;Akro Stacking Bins; $12,62 ;2; $2,52 
CA-2014-156587;Maret;2014;Jawa Tengah;Consumer;Office Supplies;Art;Newell 330; $17,94 ;3; $4,66 
CA-2014-157644;Desember;2014;DI Yogyakarta;Corporate;Technology;Accessories;Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack; $34,77 ;3; $11,47 
CA-2014-113768;Mei;2014;Jawa Timur;Corporate;Furniture;Chairs;Iceberg Nesting Folding Chair, 19w x 6d x 43h; $279,46 ;6; $20,96 
CA-2014-122070;April;2014;DKI Jakarta;Corporate;Office Supplies;Binders;"ACCOHIDE 3-Ring Binder, Blue, 1"""; $9,91 ;3; $3,35 
US-2014-158400;Oktober;2014;Jawa Barat;Corporate;Office Supplies;Binders;GBC VeloBind Cover Sets; $49,41 ;4; $18,53 
CA-2014-113768;Mei;2014;Banten;Corporate;Office Supplies;Paper;EcoTones Memo Sheets; $8,00 ;2; $3,84 
CA-2014-122070;April;2014;Jawa Tengah;Corporate;Office Supplies;Envelopes;Staple envelope; $247,84 ;8; $121,44 
CA-2014-157644;Desember;2014;DI Yogyakarta;Corporate;Office Supplies;Labels;Avery 51; $18,90 ;3; $8,69 
US-2014-150126;Juli;2014;Jawa Timur;Corporate;Office Supplies;Paper;Xerox 1956; $65,78 ;11; $32,23 
CA-2014-160066;November;2014;Jawa Tengah;Corporate;Office Supplies;Labels;Permanent Self-Adhesive File Folder Labels for Typewriters by Universal; $5,22 ;2; $2,40 
CA-2014-156160;September;2014;DI Yogyakarta;Consumer;Office Supplies;Art;Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink; $13,04 ;4; $5,74 
CA-2014-132913;Desember;2014;Jawa Timur;Consumer;Office Supplies;Appliances;Belkin 7-Outlet SurgeMaster Home Series; $13,97 ;1; $3,63 
CA-2014-156160;September;2014;DKI Jakarta;Consumer;Office Supplies;Binders;Cardinal Holdit Business Card Pockets; $3,98 ;1; $1,39 
CA-2014-156160;September;2014;Jawa Barat;Consumer;Furniture;Furnishings;"Computer Room Manger, 14"""; $97,44 ;3; $35,08 
CA-2014-103100;Desember;2014;Banten;Consumer;Office Supplies;Binders;Ibico Ibimaster 300 Manual Binding System; $1.103,97 ;3; $496,79 
CA-2014-103100;Desember;2014;Jawa Tengah;Consumer;Office Supplies;Labels;Avery 487; $3,69 ;1; $1,73 
CA-2014-123295;Juli;2014;DI Yogyakarta;Home Office;Furniture;Chairs;Office Star - Ergonomically Designed Knee Chair; $259,14 ;4; $25,91 
CA-2014-169061;Maret;2014;Jawa Timur;Consumer;Office Supplies;Supplies;Acme Forged Steel Scissors with Black Enamel Handles; $18,62 ;2; $5,40 
CA-2014-169061;Maret;2014;Jawa Timur;Consumer;Technology;Accessories;Logitech Wireless Gaming Headset G930; $479,97 ;3; $177,59 
CA-2014-169061;Maret;2014;DKI Jakarta;Consumer;Office Supplies;Binders;GBC Wire Binding Combs; $49,63 ;6; $16,75 
CA-2014-169061;Maret;2014;Jawa Barat;Consumer;Office Supplies;Art;Newell 345; $59,52 ;3; $15,48 
CA-2014-169061;Maret;2014;Banten;Consumer;Office Supplies;Paper;Xerox 1891; $97,82 ;2; $45,98 
US-2014-139500;November;2014;Jawa Tengah;Consumer;Furniture;Chairs;SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair; $37,30 ;2; $1,07 
US-2014-152030;Desember;2014;DI Yogyakarta;Home Office;Furniture;Chairs;Global Deluxe High-Back Manager's Chair; $600,56 ;3; $8,58 
CA-2014-153983;November;2014;Jawa Timur;Consumer;Technology;Phones;Wilson SignalBoost 841262 DB PRO Amplifier Kit; $575,92 ;2; $71,99 
CA-2014-153983;November;2014;DKI Jakarta;Consumer;Office Supplies;Fasteners;Staples; $30,40 ;5; $15,20 
CA-2014-110408;Oktober;2014;Jawa Barat;Corporate;Office Supplies;Storage;Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h; $275,97 ;3; $11,04 
CA-2014-110408;Oktober;2014;Banten;Corporate;Furniture;Chairs;Global Wood Trimmed Manager's Task Chair, Khaki; $545,88 ;6; $70,96 
CA-2014-110408;Oktober;2014;Jawa Tengah;Corporate;Technology;Phones;Avaya IP Phone 1140E VoIP phone; $1.394,95 ;5; $362,69 
CA-2014-149958;Maret;2014;DI Yogyakarta;Consumer;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany; $45,70 ;3; $5,14 
CA-2014-128538;Oktober;2014;Jawa Timur;Consumer;Office Supplies;Envelopes;"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes"; $7,64 ;1; $3,74 
CA-2014-149958;Maret;2014;DKI Jakarta;Consumer;Office Supplies;Binders;GBC VeloBinder Manual Binding System; $43,19 ;4; $31,67 
CA-2014-149958;Maret;2014;Jawa Barat;Consumer;Office Supplies;Binders;Insertable Tab Post Binder Dividers; $7,22 ;3; $5,53 
CA-2014-149958;Maret;2014;Banten;Consumer;Office Supplies;Storage;Hot File 7-Pocket, Floor Stand; $142,78 ;1; $17,85 
CA-2014-149958;Maret;2014;Jawa Tengah;Consumer;Office Supplies;Paper;Xerox 1889; $131,90 ;3; $47,82 
CA-2014-122679;Juli;2014;DI Yogyakarta;Home Office;Office Supplies;Art;Crayola Colored Pencils; $19,68 ;6; $6,49 
CA-2014-103058;Juli;2014;Jawa Timur;Consumer;Technology;Accessories;Case Logic 2.4GHz Wireless Keyboard; $99,98 ;2; $8,00 
CA-2014-167164;Mei;2014;Jawa Tengah;Consumer;Office Supplies;Storage;Fellowes Super Stor/Drawer; $55,50 ;2; $9,99 
CA-2014-147298;April;2014;DI Yogyakarta;Corporate;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"; $18,29 ;6; $5,72 
CA-2014-147298;April;2014;Jawa Timur;Corporate;Furniture;Chairs;Bevis Steel Folding Chairs; $230,28 ;3; $23,03 
CA-2014-128055;Maret;2014;DKI Jakarta;Consumer;Office Supplies;Appliances;Fellowes Advanced Computer Series Surge Protectors; $52,98 ;2; $14,83 
CA-2014-138100;September;2014;Jawa Barat;Consumer;Furniture;Furnishings;Master Caster Door Stop, Large Neon Orange; $14,56 ;2; $6,26 
CA-2014-128055;Maret;2014;Banten;Consumer;Office Supplies;Binders;GBC DocuBind 200 Manual Binding Machine; $673,57 ;2; $252,59 
CA-2014-138100;September;2014;Jawa Tengah;Consumer;Office Supplies;Paper;Easy-staple paper; $14,94 ;3; $7,02 
US-2014-115189;Desember;2014;DI Yogyakarta;Corporate;Technology;Phones;ClearSounds CSC500 Amplified Spirit Phone Corded phone; $251,96 ;6; $50,39 
US-2014-115189;Desember;2014;Jawa Timur;Corporate;Furniture;Tables;Hon 5100 Series Wood Tables; $523,76 ;3; $192,05 
CA-2014-132542;Oktober;2014;Jawa Timur;Corporate;Office Supplies;Binders;GBC VeloBinder Strips; $15,36 ;2; $7,68 
CA-2014-130729;Oktober;2014;DKI Jakarta;Consumer;Office Supplies;Binders;Avery Premier Heavy-Duty Binder with Round Locking Rings; $34,27 ;3; $11,14 
CA-2014-158064;April;2014;Jawa Barat;Consumer;Office Supplies;Binders;ACCOHIDE Binder by Acco; $16,52 ;5; $5,58 
CA-2014-158470;April;2014;Banten;Consumer;Office Supplies;Binders;GBC Durable Plastic Covers; $58,05 ;3; $26,70 
CA-2014-125171;September;2014;Jawa Tengah;Consumer;Office Supplies;Labels;Avery 514; $14,40 ;5; $7,06 
CA-2014-158470;April;2014;DI Yogyakarta;Consumer;Office Supplies;Paper;Xerox 232; $71,28 ;11; $34,21 
CA-2014-157882;Oktober;2014;Jawa Timur;Corporate;Furniture;Tables;Bevis Round Conference Room Tables and Bases; $143,43 ;1; $3,59 
CA-2014-157882;Oktober;2014;DKI Jakarta;Corporate;Furniture;Chairs;Global Deluxe Stacking Chair, Gray; $122,35 ;3; $13,76 
CA-2014-129924;Juli;2014;Jawa Barat;Corporate;Office Supplies;Binders;Tuff Stuff Recycled Round Ring Binders; $7,71 ;2; $2,80 
CA-2014-129924;Juli;2014;Banten;Corporate;Furniture;Tables;Hon 5100 Series Wood Tables; $698,35 ;3; $17,46 
CA-2014-111360;November;2014;Jawa Tengah;Home Office;Office Supplies;Binders;Acco Expandable Hanging Binders; $5,74 ;3; $4,59 
CA-2014-120243;Desember;2014;DI Yogyakarta;Home Office;Office Supplies;Labels;Staple-on labels; $11,56 ;4; $5,43 
US-2014-167262;Oktober;2014;Jawa Timur;Consumer;Technology;Phones;Plantronics HL10 Handset Lifter; $742,34 ;8; $83,51 
CA-2014-155271;Mei;2014;DKI Jakarta;Consumer;Furniture;Furnishings;DAX Wood Document Frame; $27,46 ;2; $9,89 
CA-2014-115056;Mei;2014;Jawa Barat;Consumer;Office Supplies;Appliances;Belkin 6 Outlet Metallic Surge Strip; $26,14 ;3; $1,96 
US-2014-105767;Mei;2014;Banten;Consumer;Office Supplies;Binders;Angle-D Ring Binders; $3,28 ;2; $2,63 
US-2014-105767;Mei;2014;Jawa Tengah;Consumer;Technology;Phones;Motorola L804; $55,19 ;2; $10,12 
US-2014-105767;Mei;2014;DI Yogyakarta;Consumer;Office Supplies;Art;Newell 317; $21,17 ;9; $2,38 
CA-2014-158281;September;2014;Jawa Timur;Corporate;Technology;Machines;Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop; $559,71 ;3; $121,27 
CA-2014-167850;Agustus;2014;Jawa Tengah;Corporate;Technology;Phones;AT&T 1070 Corded Phone; $178,38 ;2; $22,30 
CA-2014-167850;Agustus;2014;DI Yogyakarta;Corporate;Office Supplies;Paper;Xerox 21; $15,55 ;3; $5,44 
CA-2014-122588;November;2014;Jawa Timur;Consumer;Furniture;Furnishings;DAX Black Cherry Wood-Tone Poster Frame; $52,96 ;2; $20,12 
CA-2014-102652;April;2014;DKI Jakarta;Corporate;Furniture;Furnishings;C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings; $33,11 ;7; $12,91 
CA-2014-102652;April;2014;Jawa Barat;Corporate;Furniture;Furnishings;Tenex B1-RE Series Chair Mats for Low Pile Carpets; $91,96 ;2; $15,63 
CA-2014-101427;Desember;2014;Banten;Corporate;Office Supplies;Art;Eldon Spacemaker Box, Quick-Snap Lid, Clear; $8,02 ;3; $1,10 
CA-2014-102652;April;2014;Jawa Tengah;Corporate;Office Supplies;Paper;Xerox 211; $19,44 ;3; $9,33 
CA-2014-102652;April;2014;DI Yogyakarta;Corporate;Office Supplies;Paper;Xerox 194; $55,48 ;1; $26,63 
CA-2014-162278;Oktober;2014;Jawa Timur;Consumer;Furniture;Furnishings;Tenex Chairmats For Use With Carpeted Floors; $63,92 ;4; $3,20 
CA-2014-162278;Oktober;2014;Jawa Timur;Consumer;Technology;Phones;Vtech CS6719; $383,96 ;5; $38,40 
CA-2014-115336;November;2014;DKI Jakarta;Corporate;Office Supplies;Binders;GBC White Gloss Covers, Plain Front; $14,48 ;5; $23,89 
CA-2014-162684;Agustus;2014;Jawa Barat;Home Office;Office Supplies;Fasteners;Acco Clips to Go Binder Clips, 24 Clips in Two Sizes; $5,68 ;2; $1,92 
CA-2014-101392;Desember;2014;Banten;Home Office;Office Supplies;Storage;Advantus Rolling Drawer Organizers; $269,36 ;7; $70,03 
CA-2014-154963;Juni;2014;Jawa Tengah;Consumer;Furniture;Chairs;Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back; $853,93 ;5; $-   
CA-2014-143210;Desember;2014;DI Yogyakarta;Consumer;Technology;Phones;Cisco IP Phone 7961G VoIP phone - Dark gray; $271,90 ;2; $78,85 
CA-2014-154963;Juni;2014;Jawa Timur;Consumer;Furniture;Chairs;Padded Folding Chairs, Black, 4/Carton; $170,06 ;3; $4,86 
CA-2014-143210;Desember;2014;DKI Jakarta;Consumer;Furniture;Furnishings;"Linden 10"" Round Wall Clock, Black"; $45,84 ;3; $15,59 
CA-2014-143210;Desember;2014;Jawa Barat;Consumer;Furniture;Furnishings;Ultra Door Push Plate; $9,82 ;2; $3,24 
CA-2014-154963;Juni;2014;Banten;Consumer;Technology;Phones;Panasonic Kx-TS550; $82,78 ;3; $15,18 
US-2014-122021;Oktober;2014;Jawa Tengah;Consumer;Furniture;Chairs;Global Italian Leather Office Chair; $183,37 ;2; $7,86 
US-2014-122021;Oktober;2014;DI Yogyakarta;Consumer;Office Supplies;Paper;Xerox 1897; $7,97 ;2; $2,89 
CA-2014-160276;April;2014;Jawa Timur;Corporate;Furniture;Furnishings;Luxo Adjustable Task Clamp Lamp; $177,68 ;2; $46,20 
